集計年,都道府県コード,都道府県名,地域コード,地域名,国コード,国名,現地法人企業数_増減率（％）
1995,19,山梨県,1,アジア州,113,マレーシア,-
1995,19,山梨県,3,北アメリカ州,302,カナダ,-
1995,19,山梨県,3,北アメリカ州,304,アメリカ合衆国,-
1995,20,長野県,1,アジア州,103,大韓民国,-
1995,20,長野県,1,アジア州,105,中華人民共和国,-
1995,20,長野県,1,アジア州,106,台湾,-
1995,20,長野県,1,アジア州,108,香港,-
1995,20,長野県,1,アジア州,111,タイ,-
1995,20,長野県,1,アジア州,112,シンガポール,-
1995,20,長野県,1,アジア州,113,マレーシア,-
1995,20,長野県,1,アジア州,117,フィリピン,-
1995,20,長野県,1,アジア州,118,インドネシア,-
1995,20,長野県,2,ヨーロッパ州,205,英国,-
1995,20,長野県,2,ヨーロッパ州,207,オランダ,-
1995,20,長野県,2,ヨーロッパ州,208,ベルギー,-
1995,20,長野県,2,ヨーロッパ州,210,フランス,-
1995,20,長野県,2,ヨーロッパ州,213,ドイツ,-
1995,20,長野県,2,ヨーロッパ州,215,スイス,-
1995,20,長野県,2,ヨーロッパ州,217,ポルトガル,-
1995,20,長野県,2,ヨーロッパ州,218,スペイン,-
1995,20,長野県,2,ヨーロッパ州,220,イタリア,-
1995,20,長野県,3,北アメリカ州,304,アメリカ合衆国,-
1995,20,長野県,6,大洋州,601,オーストラリア,-
1995,20,長野県,6,大洋州,606,ニュージーランド,-
1995,21,岐阜県,1,アジア州,103,大韓民国,-
1995,21,岐阜県,1,アジア州,105,中華人民共和国,-
1995,21,岐阜県,1,アジア州,106,台湾,-
1995,21,岐阜県,1,アジア州,108,香港,-
1995,21,岐阜県,1,アジア州,111,タイ,-
1995,21,岐阜県,1,アジア州,112,シンガポール,-
1995,21,岐阜県,2,ヨーロッパ州,205,英国,-
1995,21,岐阜県,2,ヨーロッパ州,207,オランダ,-
1995,21,岐阜県,2,ヨーロッパ州,213,ドイツ,-
1995,21,岐阜県,2,ヨーロッパ州,220,イタリア,-
1995,21,岐阜県,3,北アメリカ州,304,アメリカ合衆国,-
1995,22,静岡県,1,アジア州,103,大韓民国,-
1995,22,静岡県,1,アジア州,105,中華人民共和国,-
1995,22,静岡県,1,アジア州,106,台湾,-
1995,22,静岡県,1,アジア州,108,香港,-
1995,22,静岡県,1,アジア州,111,タイ,-
1995,22,静岡県,1,アジア州,112,シンガポール,-
1995,22,静岡県,1,アジア州,113,マレーシア,-
1995,22,静岡県,1,アジア州,117,フィリピン,-
1995,22,静岡県,1,アジア州,118,インドネシア,-
1995,22,静岡県,1,アジア州,123,インド,-
1995,22,静岡県,1,アジア州,124,パキスタン,-
1995,22,静岡県,2,ヨーロッパ州,202,ノルウェー,-
1995,22,静岡県,2,ヨーロッパ州,203,スウェーデン,-
1995,22,静岡県,2,ヨーロッパ州,204,デンマーク,-
1995,22,静岡県,2,ヨーロッパ州,205,英国,-
1995,22,静岡県,2,ヨーロッパ州,207,オランダ,-
1995,22,静岡県,2,ヨーロッパ州,208,ベルギー,-
1995,22,静岡県,2,ヨーロッパ州,209,ルクセンブルク,-
1995,22,静岡県,2,ヨーロッパ州,210,フランス,-
1995,22,静岡県,2,ヨーロッパ州,213,ドイツ,-
1995,22,静岡県,2,ヨーロッパ州,215,スイス,-
1995,22,静岡県,2,ヨーロッパ州,217,ポルトガル,-
1995,22,静岡県,2,ヨーロッパ州,218,スペイン,-
1995,22,静岡県,2,ヨーロッパ州,220,イタリア,-
1995,22,静岡県,2,ヨーロッパ州,225,オーストリア,-
1995,22,静岡県,2,ヨーロッパ州,227,ハンガリー,-
1995,22,静岡県,2,ヨーロッパ州,299,その他のヨーロッパ,-
1995,22,静岡県,3,北アメリカ州,302,カナダ,-
1995,22,静岡県,3,北アメリカ州,304,アメリカ合衆国,-
1995,22,静岡県,3,北アメリカ州,305,メキシコ,-
1995,22,静岡県,3,北アメリカ州,311,コスタリカ,-
1995,22,静岡県,3,北アメリカ州,312,パナマ,-
1995,22,静岡県,3,北アメリカ州,399,その他の北アメリカ州,-
1995,22,静岡県,4,南アメリカ州,401,コロンビア,-
1995,22,静岡県,4,南アメリカ州,410,ブラジル,-
1995,22,静岡県,4,南アメリカ州,413,アルゼンチン,-
1995,22,静岡県,5,アフリカ州,506,エジプト,-
1995,22,静岡県,5,アフリカ州,524,ナイジェリア,-
1995,22,静岡県,6,大洋州,601,オーストラリア,-
1995,22,静岡県,6,大洋州,606,ニュージーランド,-
1995,22,静岡県,6,大洋州,610,サモア,-
1995,23,愛知県,1,アジア州,103,大韓民国,-
1995,23,愛知県,1,アジア州,105,中華人民共和国,-
1995,23,愛知県,1,アジア州,106,台湾,-
1995,23,愛知県,1,アジア州,108,香港,-
1995,23,愛知県,1,アジア州,111,タイ,-
1995,23,愛知県,1,アジア州,112,シンガポール,-
1995,23,愛知県,1,アジア州,113,マレーシア,-
1995,23,愛知県,1,アジア州,117,フィリピン,-
1995,23,愛知県,1,アジア州,118,インドネシア,-
1995,23,愛知県,1,アジア州,120,カンボジア,-
1995,23,愛知県,1,アジア州,123,インド,-
1995,23,愛知県,1,アジア州,124,パキスタン,-
1995,23,愛知県,1,アジア州,125,スリランカ,-
1995,23,愛知県,2,ヨーロッパ州,202,ノルウェー,-
1995,23,愛知県,2,ヨーロッパ州,203,スウェーデン,-
1995,23,愛知県,2,ヨーロッパ州,205,英国,-
1995,23,愛知県,2,ヨーロッパ州,206,アイルランド,-
1995,23,愛知県,2,ヨーロッパ州,207,オランダ,-
1995,23,愛知県,2,ヨーロッパ州,208,ベルギー,-
1995,23,愛知県,2,ヨーロッパ州,210,フランス,-
1995,23,愛知県,2,ヨーロッパ州,213,ドイツ,-
1995,23,愛知県,2,ヨーロッパ州,217,ポルトガル,-
1995,23,愛知県,2,ヨーロッパ州,218,スペイン,-
1995,23,愛知県,2,ヨーロッパ州,220,イタリア,-
1995,23,愛知県,2,ヨーロッパ州,222,フィンランド,-
1995,23,愛知県,2,ヨーロッパ州,223,ポーランド,-
1995,23,愛知県,2,ヨーロッパ州,225,オーストリア,-
1995,23,愛知県,2,ヨーロッパ州,227,ハンガリー,-
1995,23,愛知県,2,ヨーロッパ州,234,トルコ,-
1995,23,愛知県,2,ヨーロッパ州,288,旧ソ連,-
1995,23,愛知県,2,ヨーロッパ州,299,その他のヨーロッパ,-
1995,23,愛知県,3,北アメリカ州,302,カナダ,-
1995,23,愛知県,3,北アメリカ州,304,アメリカ合衆国,-
1995,23,愛知県,3,北アメリカ州,305,メキシコ,-
1995,23,愛知県,3,北アメリカ州,311,コスタリカ,-
1995,23,愛知県,3,北アメリカ州,323,ドミニカ共和国,-
1995,23,愛知県,3,北アメリカ州,324,プエルトリコ(米),-
1995,23,愛知県,4,南アメリカ州,401,コロンビア,-
1995,23,愛知県,4,南アメリカ州,402,ベネズエラ,-
1995,23,愛知県,4,南アメリカ州,406,エクアドル,-
1995,23,愛知県,4,南アメリカ州,407,ペルー,-
1995,23,愛知県,4,南アメリカ州,409,チリ,-
1995,23,愛知県,4,南アメリカ州,410,ブラジル,-
1995,23,愛知県,4,南アメリカ州,411,パラグアイ,-
1995,23,愛知県,4,南アメリカ州,413,アルゼンチン,-
1995,23,愛知県,6,大洋州,601,オーストラリア,-
1995,23,愛知県,6,大洋州,606,ニュージーランド,-
1995,24,三重県,1,アジア州,103,大韓民国,-
1995,24,三重県,1,アジア州,105,中華人民共和国,-
1995,24,三重県,1,アジア州,108,香港,-
1995,24,三重県,1,アジア州,111,タイ,-
1995,24,三重県,1,アジア州,112,シンガポール,-
1995,24,三重県,1,アジア州,113,マレーシア,-
1995,24,三重県,1,アジア州,117,フィリピン,-
1995,24,三重県,1,アジア州,118,インドネシア,-
1995,24,三重県,1,アジア州,123,インド,-
1995,24,三重県,2,ヨーロッパ州,205,英国,-
1995,24,三重県,2,ヨーロッパ州,218,スペイン,-
1995,24,三重県,3,北アメリカ州,302,カナダ,-
1995,24,三重県,3,北アメリカ州,304,アメリカ合衆国,-
1995,24,三重県,4,南アメリカ州,410,ブラジル,-
1995,24,三重県,6,大洋州,601,オーストラリア,-
1995,25,滋賀県,1,アジア州,103,大韓民国,-
1995,25,滋賀県,1,アジア州,108,香港,-
1995,25,滋賀県,1,アジア州,112,シンガポール,-
1995,25,滋賀県,1,アジア州,113,マレーシア,-
1995,25,滋賀県,2,ヨーロッパ州,205,英国,-
1995,25,滋賀県,3,北アメリカ州,304,アメリカ合衆国,-
1995,26,京都府,1,アジア州,103,大韓民国,-
1995,26,京都府,1,アジア州,105,中華人民共和国,-
1995,26,京都府,1,アジア州,106,台湾,-
1995,26,京都府,1,アジア州,108,香港,-
1995,26,京都府,1,アジア州,111,タイ,-
1995,26,京都府,1,アジア州,112,シンガポール,-
1995,26,京都府,1,アジア州,113,マレーシア,-
1995,26,京都府,1,アジア州,117,フィリピン,-
1995,26,京都府,1,アジア州,118,インドネシア,-
1995,26,京都府,1,アジア州,143,イスラエル,-
1995,26,京都府,2,ヨーロッパ州,204,デンマーク,-
1995,26,京都府,2,ヨーロッパ州,205,英国,-
1995,26,京都府,2,ヨーロッパ州,207,オランダ,-
1995,26,京都府,2,ヨーロッパ州,208,ベルギー,-
1995,26,京都府,2,ヨーロッパ州,210,フランス,-
1995,26,京都府,2,ヨーロッパ州,213,ドイツ,-
1995,26,京都府,2,ヨーロッパ州,215,スイス,-
