集計年,都道府県コード,都道府県名,地域コード,地域名,国コード,国名,産業大分類コード,産業大分類名,現地法人企業数（社）
1995,13,東京都,1,アジア州,112,シンガポール,M,宿泊業，飲食サービス業,5
1995,13,東京都,1,アジア州,112,シンガポール,N,生活関連サービス業，娯楽業,5
1995,13,東京都,1,アジア州,112,シンガポール,R,サービス業（他に分類されないもの）,27
1995,13,東京都,1,アジア州,113,マレーシア,A,農業，林業,2
1995,13,東京都,1,アジア州,113,マレーシア,B,漁業,1
1995,13,東京都,1,アジア州,113,マレーシア,D,建設業,24
1995,13,東京都,1,アジア州,113,マレーシア,E,製造業,166
1995,13,東京都,1,アジア州,113,マレーシア,H,運輸業，郵便業,12
1995,13,東京都,1,アジア州,113,マレーシア,I,卸売業，小売業,31
1995,13,東京都,1,アジア州,113,マレーシア,J,金融業，保険業,1
1995,13,東京都,1,アジア州,113,マレーシア,K,不動産業，物品賃貸業,3
1995,13,東京都,1,アジア州,113,マレーシア,M,宿泊業，飲食サービス業,2
1995,13,東京都,1,アジア州,113,マレーシア,N,生活関連サービス業，娯楽業,3
1995,13,東京都,1,アジア州,113,マレーシア,R,サービス業（他に分類されないもの）,9
1995,13,東京都,1,アジア州,116,ブルネイ,D,建設業,1
1995,13,東京都,1,アジア州,116,ブルネイ,E,製造業,1
1995,13,東京都,1,アジア州,117,フィリピン,A,農業，林業,6
1995,13,東京都,1,アジア州,117,フィリピン,C,鉱業，採石業，砂利採取業,3
1995,13,東京都,1,アジア州,117,フィリピン,D,建設業,14
1995,13,東京都,1,アジア州,117,フィリピン,E,製造業,50
1995,13,東京都,1,アジア州,117,フィリピン,F,電気・ガス・熱供給・水道業,1
1995,13,東京都,1,アジア州,117,フィリピン,G,情報通信業,1
1995,13,東京都,1,アジア州,117,フィリピン,H,運輸業，郵便業,6
1995,13,東京都,1,アジア州,117,フィリピン,I,卸売業，小売業,7
1995,13,東京都,1,アジア州,117,フィリピン,J,金融業，保険業,1
1995,13,東京都,1,アジア州,117,フィリピン,K,不動産業，物品賃貸業,4
1995,13,東京都,1,アジア州,117,フィリピン,L,学術研究，専門・技術サービス業,1
1995,13,東京都,1,アジア州,117,フィリピン,M,宿泊業，飲食サービス業,2
1995,13,東京都,1,アジア州,117,フィリピン,N,生活関連サービス業，娯楽業,4
1995,13,東京都,1,アジア州,117,フィリピン,R,サービス業（他に分類されないもの）,3
1995,13,東京都,1,アジア州,118,インドネシア,A,農業，林業,1
1995,13,東京都,1,アジア州,118,インドネシア,B,漁業,4
1995,13,東京都,1,アジア州,118,インドネシア,C,鉱業，採石業，砂利採取業,2
1995,13,東京都,1,アジア州,118,インドネシア,D,建設業,18
1995,13,東京都,1,アジア州,118,インドネシア,E,製造業,148
1995,13,東京都,1,アジア州,118,インドネシア,F,電気・ガス・熱供給・水道業,1
1995,13,東京都,1,アジア州,118,インドネシア,G,情報通信業,3
1995,13,東京都,1,アジア州,118,インドネシア,H,運輸業，郵便業,9
1995,13,東京都,1,アジア州,118,インドネシア,I,卸売業，小売業,14
1995,13,東京都,1,アジア州,118,インドネシア,J,金融業，保険業,10
1995,13,東京都,1,アジア州,118,インドネシア,K,不動産業，物品賃貸業,10
1995,13,東京都,1,アジア州,118,インドネシア,L,学術研究，専門・技術サービス業,1
1995,13,東京都,1,アジア州,118,インドネシア,M,宿泊業，飲食サービス業,1
1995,13,東京都,1,アジア州,118,インドネシア,N,生活関連サービス業，娯楽業,4
1995,13,東京都,1,アジア州,118,インドネシア,R,サービス業（他に分類されないもの）,4
1995,13,東京都,1,アジア州,120,カンボジア,I,卸売業，小売業,1
1995,13,東京都,1,アジア州,123,インド,E,製造業,14
1995,13,東京都,1,アジア州,123,インド,H,運輸業，郵便業,1
1995,13,東京都,1,アジア州,123,インド,I,卸売業，小売業,2
1995,13,東京都,1,アジア州,123,インド,J,金融業，保険業,1
1995,13,東京都,1,アジア州,124,パキスタン,E,製造業,3
1995,13,東京都,1,アジア州,124,パキスタン,F,電気・ガス・熱供給・水道業,1
1995,13,東京都,1,アジア州,124,パキスタン,J,金融業，保険業,1
1995,13,東京都,1,アジア州,124,パキスタン,K,不動産業，物品賃貸業,1
1995,13,東京都,1,アジア州,125,スリランカ,D,建設業,1
1995,13,東京都,1,アジア州,125,スリランカ,I,卸売業，小売業,1
1995,13,東京都,1,アジア州,125,スリランカ,K,不動産業，物品賃貸業,1
1995,13,東京都,1,アジア州,127,バングラデシュ,B,漁業,1
1995,13,東京都,1,アジア州,127,バングラデシュ,E,製造業,2
1995,13,東京都,1,アジア州,131,ネパール,K,不動産業，物品賃貸業,1
1995,13,東京都,1,アジア州,133,イラン,E,製造業,1
1995,13,東京都,1,アジア州,133,イラン,I,卸売業，小売業,7
1995,13,東京都,1,アジア州,135,バーレーン,H,運輸業，郵便業,1
1995,13,東京都,1,アジア州,135,バーレーン,I,卸売業，小売業,4
1995,13,東京都,1,アジア州,137,サウジアラビア,D,建設業,2
1995,13,東京都,1,アジア州,137,サウジアラビア,E,製造業,5
1995,13,東京都,1,アジア州,137,サウジアラビア,I,卸売業，小売業,2
1995,13,東京都,1,アジア州,137,サウジアラビア,R,サービス業（他に分類されないもの）,1
1995,13,東京都,1,アジア州,138,クウェート,I,卸売業，小売業,2
